gene_name	gene_length	rm_count	by_count
YAL008W	597	100.0	49.0
YBR255W	2085	50.0	0.0
YGR164W	336	68.0	50.0
YGR131W	525	99.0	0.0
YNL003C	855	190.0	50.0
YBR135W	453	101.0	46.0
YBR160W	897	266.0	212.0
YJL082W	2196	198.0	197.0
YJL142C	393	0.0	0.0
YPL191C	1083	100.0	95.0
YGL215W	1359	248.0	193.0
YKL074C	1584	294.0	148.0
YLR467C-A	483	0.0	47.0
YJL077C	396	0.0	48.0
YKL096W-A	279	342.0	368.0
YIL124W	894	365.0	485.0
YLR364C-A	123	0.0	0.0
YPL039W	951	144.0	59.0
YNL170W	396	47.0	49.0
YGL141W	2733	296.0	50.0
YJL179W	330	66.0	128.0
YKL083W	615	0.0	50.0
YOR009W	1464	49.0	50.0
YKL029C	2010	596.0	400.0
YPL166W	642	94.0	46.0
YKL052C	879	241.0	47.0
YHR025W	1074	461.0	125.0
YOL034W	3282	99.0	0.0
YBL008W	2523	179.0	143.0
YIL062C	465	309.0	354.0
YCL023C	348	0.0	0.0
YOL116W	1149	50.0	49.0
YDR196C	726	279.0	95.0
YBR280C	1914	46.0	0.0
YNR032W	1107	199.0	197.0
YNR045W	1470	48.0	142.0
YML105C	822	188.0	278.0
YNL288W	1122	218.0	47.0
YIL059C	366	0.0	98.0
YIL004C	429	81.0	0.0
YNR018W	675	93.0	0.0
YPL144W	447	99.0	153.0
YFR047C	888	294.0	246.0
YER087C-B	249	0.0	46.0
YHR078W	1659	224.0	292.0
YIR023C-A	324	0.0	0.0
YJR115W	510	0.0	0.0
YLR355C	1188	985.0	939.0
YGR099W	2067	215.0	153.0
YLR300W	1347	772.0	835.0
YCL028W	1218	143.0	146.0
YJR140C	4947	195.0	50.0
YOR033C	2109	147.0	100.0
YOR062C	807	181.0	0.0
YBR043C	2070	194.0	535.0
YHR112C	1137	396.0	195.0
YLR011W	576	127.0	48.0
YIL044C	897	50.0	0.0
YHR126C	480	0.0	0.0
YKR084C	1836	194.0	145.0
YER121W	345	0.0	53.0
YCR046C	510	212.0	0.0
YKL204W	1899	46.0	236.0
YOR266W	1272	47.0	143.0
YDR393W	1371	199.0	0.0
YGL171W	1695	96.0	48.0
YPR194C	2634	0.0	50.0
YGR019W	1416	192.0	97.0
YBL033C	1038	101.0	192.0
YJL188C	309	236.0	272.0
YLL057C	1239	0.0	49.0
YNL229C	1065	419.0	190.0
YNL277W	1461	843.0	412.0
YMR040W	483	150.0	0.0
YDR077W	1017	924.0	798.0
YMR266W	2862	342.0	599.0
YKR064W	2592	0.0	147.0
YPL089C	2031	98.0	43.0
YGR277C	918	189.0	150.0
YDL139C	672	0.0	0.0
YDR246W	660	50.0	97.0
YOR288C	957	50.0	149.0
YDL240C-A	138	0.0	0.0
YCR028C	1539	193.0	99.0
YML054C	1776	161.0	144.0
YLR179C	606	592.0	311.0
YOR141C	2646	242.0	98.0
YPL280W	714	0.0	0.0
YBL106C	3033	95.0	0.0
YGL044C	891	51.0	100.0
YER107C	1098	592.0	491.0
YBR038W	2892	143.0	190.0
YER076W-A	348	0.0	50.0
YGR259C	441	99.0	0.0
YEL047C	1413	162.0	193.0
YPR016C	738	507.0	356.0
YLR157C	1089	0.0	930.0
YDL055C	1086	1133.0	1178.0
YML009C	213	55.0	97.0
YML072C	4638	399.0	235.0
YDR142C	1128	94.0	0.0
YFL044C	906	65.0	50.0
YBL113W-A	483	0.0	0.0
YKL019W	951	95.0	295.0
YJL130C	6645	969.0	923.0
YBL085W	2943	354.0	148.0
YBR116C	528	0.0	50.0
YDR166C	2916	141.0	0.0
YHR212W-A	204	0.0	0.0
YDR082W	1485	344.0	233.0
